Spp,commonName,scientificName
8090,Black and White Mannikin,Spermestes bicolor
2456,African Shrike-flycatcher,Megabyas flammulatus
3584,Mangrove  Sunbird,Anthreptes gabonicus
3174,Oriole Warbler,Hypergerus atriceps
3944,Yellow-mantled Weaver,Ploceus tricolor
988,Wilson's Indigobird,Vidua wilsoni
1426,Bearded Barbet,Lybius dubius
1532,Blue-bellied Roller,Coracias cyanogaster
3776,Black-faced  Firefinch,Lagonosticta larvata
10989,Glossy-backed Drongo,Dicrurus divaricatus
1058,Hybrid Yellow/Red-billed Oxpecker,Buphagus africanus/erythrorhynchus
2784,Long-tailed Glossy Starling,Lamprotornis caudatus
1684,Cassin's Spinetail,Neafrapus cassini
2976,Simple Greenbul,Chlorocichla simplex
2790,Chestnut-bellied Starling,Lamprotornis pulcher
2028,Grey Pratincole,Glareola cinerea
2032,Egyptian Plover,Pluvianus aegyptius
3558,Williams's Lark,Mirafra williamsi
1756,Akun Eagle-Owl,Bubo leucostictus
3804,Crested Malimbe,Malimbus malimbicus
1181,Brown Illadopsis,Illadopsis fulvescens
1892,Blue-headed Wood Dove,Turtur brehmeri
652,Evergreen Forest Warbler,Bradypterus lopezi
1066,Black-faced Canary,Crithagra capistrata
3060,Brown-headed Apalis,Apalis alticola
775,Orange River  White-eye,Zosterops pallidus
3130,Black-backed Cisticola,Cisticola eximius
3822,Grey-headed Oliveback,Delacourella capistrata
7863,Lesser Blue-eared Starling,Lamprotornis chloropterus
2852,Yellow Penduline Tit,Anthoscopus parvulus
3484,Somali Short-toed Lark,Alaudala somalica
2856,White-shouldered Black Tit,Melaniparus guineensis
2440,Red-naped Bushshrike,Laniarius ruficeps
1968,Four-banded Sandgrouse,Pterocles quadricinctus
1640,Red-headed Lovebird,Agapornis pullarius
1570,Black Bee-eater,Merops gularis
3830,Compact Weaver,Ploceus superciliosus
1918,Black Crowned Crane,Balearica pavonina
3608,Carmelite Sunbird,Chalcomitra fuliginosa
7867,East Coast Boubou,Laniarius sublacteus
3568,Masked Lark,Spizocorys personata
2796,Shelley's Starling,Lamprotornis shelleyi
2394,Red-cheeked Wattle-eye,Platysteira blissetti
3980,Jos Plateau Indigobird,Vidua maryae
1210,White-throated Francolin,Peliperdix albogularis
4154,Bleating Warbler,Camaroptera brachyura
40,White-tailed Tropicbird,Phaethon lepturus
4020,Brown-rumped Bunting,Emberiza affinis
1902,Savile's Bustard,Lophotis savilei
2834,White-crowned Starling,Lamprotornis albicapillus
2478,Grey-crested Helmetshrike,Prionops poliolophus
1572,Rosy Bee-eater,Merops malimbicus
2890,Pied-winged Swallow,Hirundo leucosoma
2464,Black-winged Oriole,Oriolus nigripennis
3802,Ibadan Malimbe,Malimbus ibadanensis
3428,Lemon-bellied Crombec,Sylvietta denti
2558,Black Scrub Robin,Cercotrichas podobe
3996,Sahel Paradise  Whydah,Vidua orientalis
2118,Short-toed Snake  Eagle,Circaetus gallicus
3860,Sudan Golden-sparrow,Passer luteus
3962,Red-faced Pytilia,Pytilia hypogrammica
10034,Hyrbid Mallard/Yellow-billed Duck,Anas platyrhynchos x undulata
3650,Tiny Sunbird,Cinnyris minullus
2962,Grey-headed Bristlebill,Bleda canicapillus
3988,Cameroon Indigobird,Vidua camerunensis
3364,Capuchin Babbler,Turdoides atripennis
